caravana_vaca,fecha,observaciones
0362,,
0867,,
0880,,
0885,,
0918,,
1800,,
1809,,
2185,8/10/2025,
2881,31/8/2025,
3076,29/5/2025,
5038,,
5039,12/5/2025,
5175,5/1/2026,
5180,,
5186,,
5188,,
5189,13/8/2025,
5194,,
5195,,
5324,17/5/2025,
5333,,
5337,19/1/2026,
5361,,
5369,,
5371,,
5374,,
5375,,
5376,,
5388,,
5396,,
5577,,
7026,,
7032,,
7623,,
7646,,
7647,10/11/2025,
7757,,
8240,,
8242,,
8249,28/10/2025,
8271,,
8273,,
8275,,
8524,30/5/2025,
8535,,
8539,,
9161,14/12/2025,
9178,,
9188,,
9641,,
9659,19/12/2025,
9662,13/8/2025,
9666,,
9672,13/8/2025,
9673,,
9674,21/9/2025,
9859,10/2/2026,
