caravana,tipo,categoria,estado,fecha_nacimiento
0362,vaca,en_ordene,activo,
0880,vaca,en_ordene,activo,
0885,vaca,en_ordene,activo,
0918,vaca,en_ordene,activo,
1800,vaca,en_ordene,activo,
1809,vaca,en_ordene,activo,
2185,vaca,en_ordene,activo,
2881,vaca,en_ordene,activo,
3076,vaca,en_ordene,activo,
5038,vaca,en_ordene,activo,
5039,vaca,en_ordene,activo,
5175,vaca,en_ordene,activo,
5180,vaca,en_ordene,activo,
5186,vaca,en_ordene,activo,
5188,vaca,en_ordene,activo,
5189,vaca,en_ordene,activo,
5194,vaca,en_ordene,activo,
5195,vaca,en_ordene,activo,
5324,vaca,en_ordene,activo,
5337,vaca,en_ordene,activo,
5371,vaca,en_ordene,activo,
5375,vaca,en_ordene,activo,
5376,vaca,en_ordene,activo,
5388,vaca,en_ordene,activo,
5396,vaca,en_ordene,activo,
5577,vaca,en_ordene,activo,
7026,vaca,en_ordene,activo,
7032,vaca,en_ordene,activo,
7623,vaca,en_ordene,activo,
7646,vaca,en_ordene,activo,
7647,vaca,en_ordene,activo,
7757,vaca,en_ordene,activo,
8240,vaca,en_ordene,activo,
8249,vaca,en_ordene,activo,
8273,vaca,en_ordene,activo,
8524,vaca,en_ordene,activo,
8535,vaca,en_ordene,activo,
8539,vaca,en_ordene,activo,
9161,vaca,en_ordene,activo,
9178,vaca,en_ordene,activo,
9188,vaca,en_ordene,activo,
9659,vaca,en_ordene,activo,
9662,vaca,en_ordene,activo,
9672,vaca,en_ordene,activo,
9674,vaca,en_ordene,activo,
9859,vaca,en_ordene,activo,
0867,vaca,seca,activo,
5333,vaca,seca,activo,
5361,vaca,seca,activo,
5369,vaca,seca,activo,
5374,vaca,seca,activo,
8242,vaca,seca,activo,
8271,vaca,seca,activo,
8275,vaca,seca,activo,
9641,vaca,seca,activo,
9666,vaca,seca,activo,
9673,vaca,seca,activo,
