caravana,fecha
0362,21/10/25
0867,25/10/25
0880,21/2/26
0885,10/11/24
0918,18/10/25
1800,01/05/25
1809,24/01/25
2185,06/09/25
2881,26/06/25
3076,01/02/25
5038,02/07/25
5039,13/02/25
5175,26/06/25
5180,31/08/25
5186,26/06/25
5188,25/07/25
5189,16/06/25
5194,04/08/25
5195,22/10/25
5324,26/04/25
5333,23/06/24
5337,26/05/25
5361,18/02/25
5369,01/04/25
5371,24/10/25
5374,13/09/24
5375,01/08/25
5376,29/07/25
5388,18/02/26
5396,14/05/25
5577,16/09/25
7026,06/09/25
7032,28/08/25
7623,22/07/25
7646,26/06/25
7647,26/06/25
7757,15/09/25
8240,25/02/25
8242,21/08/24
8249,24/03/25
8271,14/11/24
8273,20/02/26
8275,11/12/24
8524,24/01/25
8535,12/02/25
8539,12/05/25
9161,06/09/25
9178,16/07/25
9188,26/06/25
9641,24/01/25
9659,01/05/25
9662,17/04/25
9666,16/07/24
9672,06/07/25
9673,05/08/25
9674,13/07/25
9859,13/10/25
