caravana,fecha,observaciones
0362,14/10/2025,
0867,30/11/2025,
0880,,
0885,30/7/2024,
0918,14/10/2025,
1800,1/4/2025,
1809,16/12/2024,
2185,,
2881,,
3076,16/12/2024,
5038,1/4/2025,
5039,26/1/2025,
5175,20/6/2025,
5180,15/7/2025,
5186,10/5/2025,
5188,20/6/2025,
5189,1/4/2025,
5194,1/4/2025,
5195,20/6/2025,
5324,1/4/2025,
5333,15/7/2025,
5337,10/3/2025,
5361,27/10/2025,
5369,27/10/2025,
5371,14/10/2025,
5374,15/7/2025,
5375,10/5/2025,
5376,20/6/2025,
5388,21/11/2024,
5396,1/4/2025,
5577,,
7026,,
7032,,
7623,,
7646,,
7647,,
7757,,
8240,16/12/2024,
8242,27/10/2025,
8249,10/3/2025,
8271,15/7/2025,
8273,26/1/2025,
8275,27/10/2025,
8524,21/11/2024,
8535,21/11/2024,
8539,1/4/2025,
9161,20/6/2025,
9178,10/5/2025,
9188,1/4/2025,
9641,15/7/2025,
9659,10/3/2025,
9662,1/4/2025,
9666,15/7/2025,
9672,,
9673,20/11/2026,
9674,,
9859,,
